megadbid,Area,state,latactdd,lonactdd,elevuse_m,coast_km,maxaug_c,mindec_c,continen,precip_cm,rh_ann,raindays,cmd10yr,ecoreg,hw_plot_LG,bahwdftac,pct_hwd,year,N,S,hdep5yroll,ph_5y_roll,3yrSO2ugm3,spp_rich,Sscores,Nscores,N(eutroph),N(mesotroph),N(oligotroph),%oligotrophs,%mesotrophs,%eutrophs,olig:eutro,olig+meso:eutro,N(intermediate),N(sensitive),N(tolerant),% sens,% inter,% tol,sens:tol,sens+inter:tol,N(Cya l),N(Cya s-m),N(For p),N(For sh),N(Mtx m-l),N(Mtx s),% Cya l,% Cya s-m,% For p,% For sh,% Mtx m-l,% Mtx s,% Cya,% For
3203,West,Washington,48.77,-122.48,34,3,22,0,22,94,71.0098,148,253,4,1,,,2000,8.32,3.85,0.08182888,5.11413,3.136,9,7.796442073,,7,1,1,0.111111111,0.111111111,0.777777778,0.142857143,0.285714286,0,2,7,0.222222222,0,0.777777778,0.285714286,0.285714286,0,0,0,3,5,1,0,0,0,0.333333333,0.555555556,0.111111111,0,0.333333333
105088,West,Wyoming,43.71,-110.38,2706,957,19,-14,33,94,50.5771,145,252,8,0,,,2002,2.87,0.89,0.0586702,,0.35,9,2.629034654,5.938157578,2,1,5,0.625,0.125,0.25,2.5,3,0,7,2,0.777777778,0,0.222222222,3.5,3.5,0,0,1,2,4,2,0,0,0.111111111,0.222222222,0.444444444,0.222222222,0,0.333333333
2495,West,Washington,48.94,-118.44,945,281,24,-9,33,62,56.091,118,291,8,1,,,2003,1.76,0.6,0.03484266,5.2331552,0.42,23,3.451708564,4.017674082,3,4,12,0.631578947,0.210526316,0.157894737,4,5.333333333,2,12,4,0.666666667,0.111111111,0.222222222,3,3.5,0,1,4,2,11,3,0,0.047619048,0.190476191,0.095238095,0.523809524,0.142857143,0.047619048,0.285714286
2994,West,Oregon,45.69,-121.79,122,113,26,0,26,180,61.9191,168,296,8,1,,,2004,6.77,2.13,0.07617382,5.265464,1.174,26,5.866477924,7.75917256,12,8,4,0.166666667,0.333333333,0.5,0.333333333,1,3,11,8,0.5,0.136363636,0.363636364,1.375,1.75,2,0,1,6,14,1,0.083333333,0,0.041666667,0.25,0.583333333,0.041666667,0.083333333,0.291666667
1912,West,Oregon,45.06,-121.85,884,152,24,-4,28,161,65.2858,148,305,8,0,,,2005,3.28,0.82,0.06265316,5.3115384,0.345,40,3.664079059,,3,8,23,0.676470588,0.235294118,0.088235294,7.666666667,10.33333333,5,24,5,0.705882353,0.147058824,0.147058824,4.8,5.8,8,1,8,2,13,6,0.210526316,0.02631579,0.210526316,0.052631579,0.342105263,0.157894737,0.236842105,0.263157895
104012,West,Idaho,47.09,-116.54,1016,414,26,-8,34,109,60.6792,135,328,8,0,,,2007,3.11,0.91,0.04410412,5.3107598,0.286,27,2.807192084,4.015682854,2,7,16,0.64,0.28,0.08,8,11.5,1,18,3,0.818181818,0.045454546,0.136363636,6,6.333333333,0,1,5,3,14,2,0,0.04,0.2,0.12,0.56,0.08,0.04,0.32
2132,West,Oregon,45.44,-117.72,1646,390,24,-8,32,97,64.5804,131,317,8,1,,,2008,2.66,0.71,0.03409502,5.3571538,0.199,24,2.240601654,3.552578798,3,2,15,0.75,0.1,0.15,5,5.666666667,0,15,4,0.789473684,0,0.210526316,3.75,3.75,0,0,5,4,9,3,0,0,0.238095238,0.190476191,0.428571429,0.142857143,0,0.428571429
3431,West,Washington,47.14,-121.06,1478,93,20,-6,26,169,64.8176,142,267,8,0,,,2008,2.73,0.58,0.06872618,5.2321944,0.222,16,1.521363636,2.464195659,0,1,14,0.933333333,0.066666667,0,,,0,12,1,0.923076923,0,0.076923077,12,12,0,0,8,1,4,2,0,0,0.533333333,0.066666667,0.266666667,0.133333333,0,0.6
104821,West,Montana,45.47,-110.53,2236,877,23,-10,33,62,48.41987569,1.29,296,8,0,,,2011,2.52,0.5,0.01884686,5.4647906,0.126,21,2.408836144,4.081767052,2,5,12,0.631578947,0.263157895,0.105263158,6,8.5,0,14,3,0.823529412,0,0.176470588,4.666666667,4.666666667,0,1,3,4,10,2,0,0.05,0.15,0.2,0.5,0.1,0.05,0.35
101275,West,Colorado,38.47,-108.36,2658,860,25,-11,36,73,44.6935,94,282,8,1,,,1995,3.93,1.39,0.0872533,5.031529,0.468,7,3.376968947,9.737892642,2,2,0,0,0.5,0.5,0,1,0,5,1,0.833333333,0,0.166666667,5,5,0,0,0,0,5,1,0,0,0,0,0.833333333,0.166666667,0,0
1548,West,Oregon,43.98,-122.14,1097,149,24,-3,27,177,61.4294,163,319,8,1,,,1997,2.48,0.86,0.10628312,5.31144025,0.22,33,2.421808142,,2,9,19,0.633333333,0.3,0.066666667,9.5,14,2,24,3,0.827586207,0.068965517,0.103448276,8,8.666666667,5,1,6,4,14,1,0.161290323,0.032258065,0.193548387,0.129032258,0.451612903,0.032258065,0.193548387,0.322580645
101660,West,Colorado,39.58,-108.57,2601,950,22,-9,31,56,48.2404,89,292,6,1,,,2000,3.92,1.36,0.05754892,5.0905006,0.418,10,2.735646565,8.909545471,4,3,1,0.125,0.375,0.5,0.25,1,1,6,1,0.75,0.125,0.125,6,7,0,0,0,1,7,1,0,0,0,0.111111111,0.777777778,0.111111111,0,0.111111111
102292,West,Wyoming,41.13,-107.03,2766,1152,20,-14,34,117,51.1663,134,272,8,0,,,2002,6.03,2.22,0.11733434,5.0798716,0.556,7,2.950325318,5.986605637,2,1,4,0.571428571,0.142857143,0.285714286,2,2.5,0,5,2,0.714285714,0,0.285714286,2.5,2.5,0,0,2,1,3,1,0,0,0.285714286,0.142857143,0.428571429,0.142857143,0,0.428571429
103571,West,Idaho,45.23,-115.22,2083,562,22,-14,36,86,59.3864,132,322,8,0,,,2005,3.16,0.93,0.03900944,5.465234,0.265,16,1.318710195,3.06929593,2,1,11,0.785714286,0.071428571,0.142857143,5.5,6,0,12,3,0.8,0,0.2,4,4,0,0,4,3,6,2,0,0,0.266666667,0.2,0.4,0.133333333,0,0.466666667
103592,West,Idaho,45.02,-116.05,1622,518,25,-13,38,96,59.91,127,343,8,0,,,2006,2.68,0.81,0.03628684,5.4337736,0.25,13,0.38,2.284847227,0,1,11,0.916666667,0.083333333,0,,,0,12,0,1,0,0,,,0,0,5,1,4,2,0,0,0.416666667,0.083333333,0.333333333,0.166666667,0,0.5
1471,West,Oregon,43.88,-123.92,152,17,24,2,22,215,71.2077,161,307,4,1,,,1997,3.79,1.31,0.10538036,5.3263305,0.375,19,3.576221028,,4,3,8,0.533333333,0.2,0.266666667,2,2.75,3,10,2,0.666666667,0.2,0.133333333,5,6.5,4,0,2,4,5,2,0.235294118,0,0.117647059,0.235294118,0.294117647,0.117647059,0.235294118,0.352941177
1511,West,Oregon,43.93,-122.49,732,124,27,0,27,190,75.7855,166,308,8,1,,,1997,3.27,1.17,0.08702854,5.3140005,0.429,18,4.590803105,,2,9,5,0.3125,0.5625,0.125,2.5,7,1,11,4,0.6875,0.0625,0.25,2.75,3,3,0,2,1,9,2,0.176470588,0,0.117647059,0.058823529,0.529411765,0.117647059,0.176470588,0.176470588
1567,West,Oregon,44.03,-122.55,792,118,27,0,27,173,66.1975,169,310,8,0,,,1997,3.5,1.25,0.1101821,5.31556,0.625,23,3.056077645,,2,8,10,0.5,0.4,0.1,5,9,0,16,4,0.8,0,0.2,4,4,1,0,6,1,12,1,0.047619048,0,0.285714286,0.047619048,0.571428571,0.047619048,0.047619048,0.333333333
1669,West,Oregon,44.23,-122.21,701,142,27,-1,28,220,70.6083,170,334,8,0,,,1997,3.33,1.28,0.11696218,5.31372675,0.21,24,3.707575158,,2,6,14,0.636363636,0.272727273,0.090909091,7,10,1,16,4,0.761904762,0.047619048,0.190476191,4,4.25,7,0,4,1,11,0,0.304347826,0,0.173913044,0.043478261,0.47826087,0,0.304347826,0.217391304
2022,West,Oregon,45.3,-121.5,1036,154,24,-5,29,108,70.199,115,291,8,1,,,1997,3.3,0.66,0.07259306,5.25202325,0.369,30,2.132424012,3.298547596,1,6,20,0.740740741,0.222222222,0.037037037,20,26,1,20,3,0.833333333,0.041666667,0.125,6.666666667,7,0,1,7,2,15,3,0,0.035714286,0.25,0.071428571,0.535714286,0.107142857,0.035714286,0.321428571
3935,West,Washington,46.84,-122.29,564,41,23,-2,25,122,81.2948,165,282,8,0,,,1998,4.55,1.81,0.11510872,5.0366096,0.687,23,5.4397166,,5,11,4,0.2,0.55,0.25,0.8,3,1,12,5,0.666666667,0.055555556,0.277777778,2.4,2.6,1,0,3,7,10,0,0.047619048,0,0.142857143,0.333333333,0.476190476,0,0.047619048,0.476190476
102653,West,Oregon,42.45,-122.3,2256,154,20,-8,28,158,60.1686,146,290,8,0,,,2001,2.61,0.66,0.07165104,5.3518888,0.223,10,0.38,2.015328129,0,0,9,1,0,0,,,0,8,0,1,0,0,,,0,0,5,1,1,2,0,0,0.555555556,0.111111111,0.111111111,0.222222222,0,0.666666667
103582,West,Idaho,45.64,-115.53,1999,524,22,-15,37,108,59.1213,143,293,8,0,,,2002,2.94,0.73,0.04454894,5.3453516,0.145,13,1.667692308,2.810589017,1,1,10,0.833333333,0.083333333,0.083333333,10,11,0,10,1,0.909090909,0,0.090909091,10,10,0,0,4,1,5,2,0,0,0.333333333,0.083333333,0.416666667,0.166666667,0,0.416666667
104811,West,Montana,46.09,-112.37,2047,730,21,-12,33,56,56.26243336,1.12,260,8,1,,,2011,2.21,0.43,0.02170122,5.3697212,0.143,22,4.140294166,5.775358355,3,5,10,0.555555556,0.277777778,0.166666667,3.333333333,5,0,12,4,0.75,0,0.25,3,3,0,0,4,4,9,1,0,0,0.222222222,0.222222222,0.5,0.055555556,0,0.444444444
102568,West,Wyoming,42.67,-109.23,2850,1087,20,-18,38,71,54.4168,81,258,8,0,,,1997,3.41,1.3,0.05515402,5.10363825,0.405,5,,6.560773039,1,0,3,0.75,0,0.25,3,3,0,3,1,0.75,0,0.25,3,3,0,0,1,0,2,1,0,0,0.25,0,0.5,0.25,0,0.25
1436,West,Oregon,43.83,-123.98,122,12,23,2,21,211,71.2077,166,309,4,1,,,1997,3.33,1.15,0.1053634,5.3248105,0.322,10,4.729821782,,5,0,1,0.166666667,0,0.833333333,0.2,0.2,2,3,2,0.428571429,0.285714286,0.285714286,1.5,2.5,1,0,0,3,3,1,0.125,0,0,0.375,0.375,0.125,0.125,0.375
1910,West,Oregon,45.06,-121.92,1036,149,23,-4,27,163,65.5168,150,303,8,0,,,2004,3.35,0.92,0.07155668,5.2960736,0.343,17,3.85966648,,1,5,9,0.6,0.333333333,0.066666667,9,14,1,10,2,0.769230769,0.076923077,0.153846154,5,5.5,0,0,4,0,10,1,0,0,0.266666667,0,0.666666667,0.066666667,0,0.266666667
1102,West,Oregon,43.24,-122.02,1981,162,21,-8,29,141,60.1686,137,289,8,0,,,1999,1.95,0.47,0.11014282,5.2954422,0.164,11,0.5159982,,0,1,10,0.909090909,0.090909091,0,,,0,10,0,1,0,0,,,0,0,5,2,1,3,0,0,0.454545455,0.181818182,0.090909091,0.272727273,0,0.636363636
1612,West,Oregon,44.13,-123.92,213,14,23,2,21,203,76.2966,164,312,4,0,,,2005,3.39,1.35,0.08771504,5.3701528,0.29,8,2.579935708,,0,3,2,0.4,0.6,0,,,0,6,0,1,0,0,,,1,0,0,2,3,0,0.166666667,0,0,0.333333333,0.5,0,0.166666667,0.333333333
104902,West,Idaho,44.06,-113,2410,766,21,-12,33,60,59.6493,79,310,8,1,,,2005,2.18,0.51,0.015738256,5.547393,0.144,8,3.486663843,8.526358636,2,1,2,0.4,0.2,0.4,1,1.5,1,4,1,0.666666667,0.166666667,0.166666667,4,5,0,0,0,2,4,0,0,0,0,0.333333333,0.666666667,0,0,0.333333333
1637,West,Oregon,44.18,-123.92,274,14,23,0,23,218,81.5685,170,304,4,1,,,1997,3.54,1.28,0.12089436,5.3346225,0.304,16,4.425279183,,4,5,2,0.181818182,0.454545455,0.363636364,0.5,1.75,0,9,3,0.75,0,0.25,3,3,1,0,1,4,6,1,0.076923077,0,0.076923077,0.307692308,0.461538462,0.076923077,0.076923077,0.384615385
103372,West,Oregon,44.76,-122.4,366,121,25,0,25,177,66.1975,161,310,8,1,,,1998,4.23,1.35,0.1018377,5.3062802,0.404,27,4.351442627,6.017439952,7,9,7,0.304347826,0.391304348,0.304347826,1,2.285714286,3,15,6,0.625,0.125,0.25,2.5,3,8,0,2,4,9,2,0.32,0,0.08,0.16,0.36,0.08,0.32,0.24
949,West,Oregon,42.8,-122.16,1951,163,22,-6,28,165,56.091,141,295,8,0,,,2000,2.17,0.6,0.10828998,5.316511,0.176,17,,2.212251276,0,2,14,0.875,0.125,0,,,0,14,1,0.933333333,0,0.066666667,14,14,0,0,5,2,8,1,0,0,0.3125,0.125,0.5,0.0625,0,0.4375
101615,West,Colorado,39.56,-106.46,3030,1042,19,-12,31,71,54.7012,120,289,8,0,,,2002,3.52,1.02,0.06094454,5.0965824,0.319,8,3.929992285,7.950421709,3,1,2,0.333333333,0.166666667,0.5,0.666666667,1,0,5,2,0.714285714,0,0.285714286,2.5,2.5,0,0,1,1,5,0,0,0,0.142857143,0.142857143,0.714285714,0,0,0.285714286
3382,West,Washington,45.65,-121.99,45,103,25,0,25,197,66.1975,163,297,8,0,,,2003,6.51,2.26,0.11144944,5.269641,1.216,28,5.657175598,8.292751497,13,8,3,0.125,0.333333333,0.541666667,0.230769231,0.846153846,2,12,9,0.52173913,0.086956522,0.391304348,1.333333333,1.555555556,1,1,1,3,16,3,0.04,0.04,0.04,0.12,0.64,0.12,0.08,0.16
1842,West,Oregon,44.76,-121.93,792,155,24,-4,28,196,70.199,159,330,8,1,,,2005,3.11,0.95,0.08397262,5.3334058,0.279,41,3.210927704,,5,9,21,0.6,0.257142857,0.142857143,4.2,6,4,26,6,0.722222222,0.111111111,0.166666667,4.333333333,5,6,2,7,1,17,5,0.157894737,0.052631579,0.184210526,0.02631579,0.447368421,0.131578947,0.210526316,0.210526316
103573,West,Idaho,45.24,-115.85,1977,520,22,-12,34,101,59.6493,125,337,8,0,,,2006,2.83,0.83,0.03266048,5.4305976,0.196,9,0.38,2.172073707,0,1,7,0.875,0.125,0,,,0,8,0,1,0,0,,,0,0,2,1,3,2,0,0,0.25,0.125,0.375,0.25,0,0.375
104155,West,Washington,48.24,-117.95,1433,307,23,-8,31,59,60.425,107,290,8,0,,,1999,2.41,0.62,0.063744,5.2207022,0.295,25,2.333942904,3.319779874,2,4,16,0.727272727,0.181818182,0.090909091,8,10,0,17,3,0.85,0,0.15,5.666666667,5.666666667,0,0,6,3,11,3,0,0,0.260869565,0.130434783,0.47826087,0.130434783,0,0.391304348
105105,West,Idaho,44.57,-111.19,2131,864,23,-15,38,94,51.1663,142,269,8,0,,,2001,3.65,1.05,0.05090662,,0.238,6,0.572658035,2.999587459,0,1,4,0.8,0.2,0,,,0,5,0,1,0,0,,,0,0,1,2,2,0,0,0,0.2,0.4,0.4,0,0,0.6
2144,West,Oregon,45.65,-121.7,1158,121,21,-5,26,203,70.4046,154,297,8,0,,,2004,5.34,1.28,0.07001002,5.2683178,0.723,22,5.47528024,5.740519606,6,6,8,0.4,0.3,0.3,1.333333333,2.333333333,1,9,8,0.5,0.055555556,0.444444444,1.125,1.25,0,0,5,3,11,2,0,0,0.238095238,0.142857143,0.523809524,0.095238095,0,0.380952381
2925,West,Washington,45.66,-121.93,43,107,26,0,26,194,66.4204,172,299,8,1,,,2004,6.51,2.26,0.10608454,5.2636572,1.18,25,6.15446579,,13,6,1,0.05,0.3,0.65,0.076923077,0.538461539,2,9,10,0.428571429,0.095238095,0.476190476,0.9,1.1,2,0,0,3,13,5,0.086956522,0,0,0.130434783,0.565217391,0.217391304,0.086956522,0.130434783
1078,West,Oregon,43.19,-122.09,1829,158,22,-7,29,142,64.5804,143,311,8,0,,,2007,1.85,0.57,0.0634379,5.3523364,0.177,16,1.930455256,,1,3,10,0.714285714,0.214285714,0.071428571,10,13,0,11,2,0.846153846,0,0.153846154,5.5,5.5,0,0,3,2,7,2,0,0,0.214285714,0.142857143,0.5,0.142857143,0,0.357142857
104901,West,Idaho,44.43,-112.13,2211,806,22,-12,34,67,64.341,98,337,8,0,,,2007,2.99,0.71,0.02104718,5.492629,0.202,9,1.593213321,4.275006876,0,1,6,0.857142857,0.142857143,0,,,0,8,0,1,0,0,,,0,0,2,3,2,1,0,0,0.25,0.375,0.25,0.125,0,0.625
1565,West,Oregon,44.03,-123.92,183,15,23,2,21,210,76.128,167,308,4,1,,,1997,3.47,1.22,0.11816636,5.330292,0.336,16,3.242950295,,5,2,6,0.461538462,0.153846154,0.384615385,1.2,1.6,3,9,1,0.692307692,0.230769231,0.076923077,9,12,4,0,1,4,5,0,0.285714286,0,0.071428571,0.285714286,0.357142857,0,0.285714286,0.357142857
104226,West,Washington,48.07,-123.7,457,11,22,0,22,186,75.9576,157,258,4,1,,,1999,1.95,0.9,0.10563574,5.2798122,0.324,21,3.553350172,4.38027876,3,5,11,0.578947368,0.263157895,0.157894737,3.666666667,5.333333333,2,13,5,0.65,0.1,0.25,2.6,3,2,0,6,2,8,3,0.095238095,0,0.285714286,0.095238095,0.380952381,0.142857143,0.095238095,0.380952381
2225,West,Washington,46.1,-121.97,488,88,25,-3,28,269,70.6083,167,310,8,1,,,2005,3.58,1.32,0.1230418,5.2641764,0.296,19,4.555088573,,2,5,11,0.611111111,0.277777778,0.111111111,5.5,8,2,10,4,0.625,0.125,0.25,2.5,3,4,0,1,1,12,1,0.210526316,0,0.052631579,0.052631579,0.631578947,0.052631579,0.210526316,0.105263158
105157,West,Idaho,47.45,-116.21,1003,435,26,-7,33,110,65.2858,153,315,8,0,,,2006,3.27,1.01,0.04603408,,0.237,27,3.550112102,4.459453753,4,6,13,0.565217391,0.260869565,0.173913044,3.25,4.75,0,16,6,0.727272727,0,0.272727273,2.666666667,2.666666667,0,1,6,3,9,6,0,0.04,0.24,0.12,0.36,0.24,0.04,0.36
103546,West,Idaho,44.99,-114.59,2226,615,21,-11,32,69,59.6493,113,324,8,0,,,2008,2.16,0.55,0.0208781,5.4872462,0.207,11,1.31,3.198200862,1,1,8,0.8,0.1,0.1,8,9,0,9,1,0.9,0,0.1,9,9,0,0,4,1,3,2,0,0,0.4,0.1,0.3,0.2,0,0.5
1344,West,Oregon,43.68,-122.28,823,139,27,-1,28,135,81.1558,152,311,8,1,,,1997,2.74,0.95,0.09110194,5.30471275,0.305,31,4.02234886,,3,7,18,0.642857143,0.25,0.107142857,6,8.333333333,4,18,4,0.692307692,0.153846154,0.153846154,4.5,5.5,9,1,6,1,10,2,0.310344828,0.034482759,0.206896552,0.034482759,0.344827586,0.068965517,0.344827586,0.24137931
103663,West,Washington,45.96,-122.63,213,46,25,-1,26,198,71.0098,169,295,8,1,,,1999,6.14,2.53,0.137982,5.210945,1.137,7,6.014828983,7.053530436,4,1,2,0.285714286,0.142857143,0.571428571,0.5,0.75,0,3,3,0.5,0,0.5,1,1,0,0,1,3,3,0,0,0,0.142857143,0.428571429,0.428571429,0,0,0.571428571
1947,West,Oregon,45.01,-117.27,1829,443,20,-10,30,148,55.2636,145,304,8,0,,,2001,3.2,0.83,0.0768626,5.3013038,0.163,5,0.38,,0,0,4,1,0,0,,,0,5,0,1,0,0,,,0,0,1,2,2,0,0,0,0.2,0.4,0.4,0,0,0.6
104207,West,Washington,48.73,-120.28,1097,151,23,-10,33,70,69.5703,106,242,8,1,,,2001,1.95,0.47,0.06926506,5.1088508,0.32,20,1.949375,3.199108156,2,2,14,0.777777778,0.111111111,0.111111111,7,8,0,13,3,0.8125,0,0.1875,4.333333333,4.333333333,0,1,5,1,9,2,0,0.055555556,0.277777778,0.055555556,0.5,0.111111111,0.055555556,0.333333333
1595,West,Oregon,44.07,-123.92,,15,22,2,20,207,81.5685,165,308,4,0,,,2004,3.47,1.22,0.08951234,5.3548618,0.336,7,4.377242124,,2,3,0,0,0.6,0.4,0,1.5,1,5,1,0.714285714,0.142857143,0.142857143,5,6,0,0,0,1,3,3,0,0,0,0.142857143,0.428571429,0.428571429,0,0.142857143
104860,West,Wyoming,42.84,-109.53,2843,1058,19,-14,33,72,54.48399099,1.19,325,8,1,,,2010,3.43,1.23,0.0253332,5.3077756,0.205,10,4.186653665,6.126954463,2,1,5,0.625,0.125,0.25,2.5,3,1,4,1,0.666666667,0.166666667,0.166666667,4,5,0,0,1,2,3,2,0,0,0.125,0.25,0.375,0.25,0,0.375
104805,West,Montana,45.57,-111.04,2070,838,24,-10,34,69,56.87470444,1.23,304,8,0,,,2011,2.76,0.48,0.02308338,5.4438778,0.122,17,2.461232413,4.229323701,3,2,10,0.666666667,0.133333333,0.2,3.333333333,4,0,10,3,0.769230769,0,0.230769231,3.333333333,3.333333333,0,0,3,3,9,1,0,0,0.1875,0.1875,0.5625,0.0625,0,0.375
3928,West,Washington,46.84,-122.29,482,41,23,-1,24,112,81.2948,165,288,8,1,,,1996,4.55,1.81,0.09573886,5.03201,0.687,26,5.482049466,,8,7,7,0.318181818,0.318181818,0.363636364,0.875,1.75,2,12,7,0.571428571,0.095238095,0.333333333,1.714285714,2,2,0,3,4,14,0,0.086956522,0,0.130434783,0.173913044,0.608695652,0,0.086956522,0.304347826
1606,West,Oregon,44.07,-121.6,2012,189,19,-8,27,132,64.5804,126,269,8,0,,,1997,2.02,0.42,0.0904434,5.29832025,0.174,15,0.38,1.951588252,0,0,14,1,0,0,,,0,13,1,0.928571429,0,0.071428571,13,13,0,0,7,2,2,3,0,0,0.5,0.142857143,0.142857143,0.214285714,0,0.642857143
1620,West,Oregon,44.13,-122.07,1250,153,23,-3,26,209,70.199,166,333,8,0,,,1997,2.73,1.08,0.10520272,5.3125605,0.191,22,2.647708059,,2,7,9,0.5,0.388888889,0.111111111,4.5,8,0,15,3,0.833333333,0,0.166666667,5,5,0,0,3,1,13,2,0,0,0.157894737,0.052631579,0.684210526,0.105263158,0,0.210526316
102682,West,Oregon,42.65,-123.83,1128,42,24,0,24,268,70.81,193,288,8,0,,,1998,2.55,0.71,0.247121,5.328973,0.217,18,4.056931223,4.887400379,2,6,8,0.5,0.375,0.125,4,7,0,12,4,0.75,0,0.25,3,3,3,0,3,2,8,1,0.176470588,0,0.176470588,0.117647059,0.470588235,0.058823529,0.176470588,0.294117647
896,West,Oregon,42.65,-122.16,1859,169,22,-6,28,167,56.091,147,301,8,0,,,2003,1.82,0.39,0.06742038,5.3829032,0.181,15,0.584146341,2.161755212,0,1,14,0.933333333,0.066666667,0,,,0,14,1,0.933333333,0,0.066666667,14,14,0,0,6,1,5,3,0,0,0.4,0.066666667,0.333333333,0.2,0,0.466666667
2928,West,Washington,45.64,-121.97,21,105,26,1,25,181,66.1975,163,301,8,1,,,2004,6.51,2.26,0.10402244,5.2633464,1.18,25,4.950096555,,11,7,4,0.181818182,0.318181818,0.5,0.363636364,1,1,13,6,0.65,0.05,0.3,2.166666667,2.333333333,5,0,0,4,12,1,0.227272727,0,0,0.181818182,0.545454546,0.045454546,0.227272727,0.181818182
1745,West,Oregon,44.42,-122,1036,155,25,-5,30,190,65.5168,156,337,8,0,,,2005,3.36,1.17,0.07797016,5.329164,0.331,28,3.778422424,,4,9,11,0.458333333,0.375,0.166666667,2.75,5,4,14,5,0.608695652,0.173913044,0.217391304,2.8,3.6,2,2,5,3,12,2,0.076923077,0.076923077,0.192307692,0.115384615,0.461538462,0.076923077,0.153846154,0.307692308
1764,West,Oregon,44.47,-122,1128,154,24,-5,29,199,70.199,158,331,8,0,,,2005,3.36,1.17,0.07757202,5.3309456,0.414,27,4.063505192,,3,7,14,0.583333333,0.291666667,0.125,4.666666667,7,5,14,3,0.636363636,0.227272727,0.136363636,4.666666667,6.333333333,8,0,3,1,9,4,0.32,0,0.12,0.04,0.36,0.16,0.32,0.16
1190,West,Oregon,43.44,-122.49,1463,126,23,-3,26,174,75.6117,156,306,8,0,,,2007,2.34,0.92,0.07196192,5.3540658,0.23,26,2.905776989,,1,8,12,0.571428571,0.380952381,0.047619048,12,20,2,16,2,0.8,0.1,0.1,8,9,0,0,3,2,16,2,0,0,0.130434783,0.086956522,0.695652174,0.086956522,0,0.217391304
104844,West,Wyoming,43.69,-110.96,2167,920,23,-15,38,121,55.51028816,0.88,315,8,1,,,2011,5.86,1.99,0.04285144,5.41555,0.165,18,2.985433251,6.29130088,3,3,7,0.538461539,0.230769231,0.230769231,2.333333333,3.333333333,1,10,2,0.769230769,0.076923077,0.153846154,5,5.5,0,0,5,2,6,1,0,0,0.357142857,0.142857143,0.428571429,0.071428571,0,0.5
2410,West,Washington,48.09,-120.76,1859,109,17,-10,27,212,74.5309,125,319,8,0,,,2012,1.72,0.39,0.094904594,5.1796148,0.118,9,0.38,2.105929789,0,1,8,0.888888889,0.111111111,0,,,0,8,0,1,0,0,,,0,0,3,2,3,1,0,0,0.333333333,0.222222222,0.333333333,0.111111111,0,0.555555556
101602,West,Colorado,39.93,-105.59,2871,1114,20,-11,31,75,47.6427,123,265,8,0,,,2000,6.03,1.83,0.08706836,4.9968124,0.479,10,2.423405041,6.363058917,1,2,4,0.571428571,0.285714286,0.142857143,4,6,0,7,1,0.875,0,0.125,7,7,0,1,1,1,2,3,0,0.125,0.125,0.125,0.25,0.375,0.125,0.25
101603,West,Colorado,39.94,-105.75,2809,1107,21,-14,35,63,44.0808,135,269,8,0,,,2001,4.21,1.3,0.07079506,5.039384,0.409,9,1.762676268,4.190941282,1,2,5,0.625,0.25,0.125,5,7,0,8,1,0.888888889,0,0.111111111,8,8,0,1,1,1,3,3,0,0.111111111,0.111111111,0.111111111,0.333333333,0.333333333,0.111111111,0.222222222
101613,West,Colorado,39.24,-106.68,3386,1004,18,-16,34,75,54.1302,112,280,8,0,,,2001,3.13,0.86,0.06792504,5.0559616,0.256,7,1.866301916,4.1352876,1,1,5,0.714285714,0.142857143,0.142857143,5,6,0,6,1,0.857142857,0,0.142857143,6,6,0,0,1,1,2,3,0,0,0.142857143,0.142857143,0.285714286,0.428571429,0,0.285714286
2198,West,Washington,45.94,-121.69,914,111,22,-4,26,183,75.4361,132,277,8,0,,,2005,3.7,1.04,0.08966316,5.278201,0.354,18,2.404457748,,1,5,11,0.647058824,0.294117647,0.058823529,11,16,0,14,2,0.875,0,0.125,7,7,0,0,2,1,12,3,0,0,0.111111111,0.055555556,0.666666667,0.166666667,0,0.166666667
2413,West,Washington,48.14,-120.75,1737,110,16,-10,26,144,74.5309,122,330,8,0,,,2012,1.72,0.39,0.077974779,5.176145,0.118,10,0.38,1.995799413,0,0,10,1,0,0,,,0,9,0,1,0,0,,,0,0,4,2,3,1,0,0,0.4,0.2,0.3,0.1,0,0.6
1341,West,Oregon,43.69,-122.49,732,123,27,0,27,145,70.81,156,299,8,1,,,1997,2.5,0.79,0.09180554,5.3086025,0.277,26,3.474759349,,1,6,17,0.708333333,0.25,0.041666667,17,23,1,18,3,0.818181818,0.045454546,0.136363636,6,6.333333333,6,0,6,2,10,1,0.24,0,0.24,0.08,0.4,0.04,0.24,0.32
102954,West,Oregon,43.88,-122.55,762,119,26,0,26,166,70.81,162,310,8,1,,,2001,3.32,1.11,0.08754572,5.3152814,0.498,22,4.302120246,5.486837184,3,8,7,0.388888889,0.444444444,0.166666667,2.333333333,5,1,14,5,0.7,0.05,0.25,2.8,3,0,0,6,3,8,4,0,0,0.285714286,0.142857143,0.380952381,0.190476191,0,0.428571429
