Plot,maxaug_c,mindec_c,continen,precip_cm,N
2225,25,-3,28,269,3.58
2227,23,-4,27,259,3.58
2229,21,-4,25,253,3.43
2231,19,-6,25,250,3.77
2232,22,-4,26,236,3.77
2234,21,-4,25,203,3.11
2235,22,-4,26,236,3.77
2236,21,-5,26,160,2.75
2237,30,-5,35,57,1.82
2239,21,-3,24,335,5.26
2241,21,-3,24,359,5.26
2243,19,-3,22,412,3.83
2245,22,-3,25,397,3.97
2246,24,-3,27,283,4.16
2247,24,-4,28,261,3.71
2248,25,-3,28,257,3.58
2250,20,-4,24,254,3.43
2251,19,-5,24,252,3.43
2253,21,-4,25,246,3.69
2255,21,-4,25,231,3.69
2257,18,-7,25,201,3.11
2259,18,-8,26,227,2.75
2260,21,-3,24,269,3.63
2261,19,-4,23,267,3.63
2263,23,-4,27,253,3.43
2265,24,-5,29,250,3.43
2267,22,-4,26,246,3.69
2269,19,-6,25,271,3.69
2271,20,-3,23,262,3.47
2272,18,-5,23,269,3.61
2274,19,-5,24,242,3.27
2276,16,-8,24,264,2.71
2279,22,-7,29,138,2.83
2282,18,-4,22,259,3.53
2283,17,-5,22,283,3.61
2284,18,-5,23,265,3.61
2285,20,-5,25,234,3.39
2287,22,-4,26,184,3.39
2288,19,-6,25,176,3.39
2289,19,-7,26,172,3.08
2291,17,-8,25,171,2.95
2294,21,-3,24,242,3.53
2296,20,-4,24,252,3.35
2297,17,-5,22,256,3.35
2298,20,-4,24,201,3.35
2299,25,-4,29,191,3.39
2301,23,-4,27,168,3.08
2302,19,-6,25,168,3.08
2303,21,-3,24,248,3.82
2304,16,-4,20,259,3.44
2305,23,-3,26,216,3.53
2306,20,-4,24,248,3.35
2307,25,-4,29,203,3.35
2308,18,-6,24,170,3.06
2310,23,-6,29,166,3.06
2311,19,-7,26,171,2.66
2312,24,-2,26,191,3.44
2313,24,-2,26,172,3.02
2315,26,-2,28,175,3.02
2316,21,-4,25,204,3.35
2317,23,-4,27,182,3.35
2318,21,-5,26,168,3.06
2319,21,-5,26,164,3.06
2321,19,-7,26,171,2.66
2322,25,-1,26,164,3.02
2324,24,-2,26,174,3.02
2325,21,-3,24,219,3.23
2327,19,-4,23,197,3.23
2328,19,-4,23,186,3.4
2329,20,-5,25,191,3.4
2330,18,-7,25,192,3.4
2331,18,-7,25,200,2.66
2333,24,-2,26,163,3.23
2334,22,-3,25,188,3.4
2336,22,-4,26,182,3.4
2337,18,-6,24,193,2.94
2339,20,-4,24,205,3.47
2340,20,-4,24,222,2.95
2341,23,-3,26,178,2.95
2342,20,-4,24,186,2.56
2344,19,-7,26,165,2.94
2345,23,-2,25,227,4.48
2346,23,-2,25,227,4.48
2347,19,-5,24,232,2.95
2349,21,-4,25,219,2.95
2350,22,-4,26,206,2.95
2352,25,-3,28,159,2.56
2354,19,-6,25,198,2.87
2355,23,-5,28,158,2.87
2356,19,-7,26,154,2.56
2357,22,-2,24,222,5.17
2358,20,-5,25,244,3.15
2359,21,-5,26,210,3.15
2360,20,-5,25,215,2.51
2361,19,-5,24,225,2.51
2362,25,-3,28,156,2.56
2364,24,-4,28,193,2.87
2365,17,-8,25,167,1.92
2366,18,-8,26,159,1.84
2367,23,-1,24,177,5.17
2368,23,-2,25,186,3.76
2370,23,-4,27,205,3.15
2372,17,-6,23,267,2.51
2373,19,-6,25,236,2.2
2374,18,-7,25,204,2.2
2375,19,-5,24,233,3.74
2376,18,-8,26,169,1.65
2378,23,-6,29,129,1.86
2382,20,-7,27,310,2.93
2385,23,-6,29,217,2.94
2387,19,-4,23,308,4.07
2394,17,-10,27,244,2.4
2395,26,-8,34,122,2.29
2400,20,-5,25,329,4.13
2402,25,-8,33,155,1.98
2403,22,-7,29,274,3.09
2409,25,-9,34,152,1.93
2410,17,-10,27,212,1.72
2412,21,-8,29,272,2.69
2413,16,-10,26,144,1.72
2414,22,-8,30,218,2.09
2416,25,-7,32,242,2.94
2418,20,-9,29,121,1.72
2422,24,-8,32,72,1.59
2426,16,-10,26,134,1.81
2432,19,-10,29,78,1.28
2434,18,-10,28,137,2.15
2435,20,-12,32,83,1.6
2438,18,-11,29,95,1.67
2439,15,-11,26,98,1.86
2440,19,-12,31,86,1.57
2441,20,-12,32,74,1.57
2446,18,-11,29,139,2.82
2447,17,-12,29,154,2.82
2449,24,-7,31,110,1.99
2450,20,-5,25,240,3.15
2452,20,-5,25,235,3.15
2453,19,-5,24,228,3.76
2454,22,-4,26,214,3.15
2455,23,-3,26,207,3.15
2456,19,-5,24,211,3.76
2458,22,-4,26,206,3.15
2459,23,-4,27,201,3.15
2461,19,-5,24,254,3.15
2462,23,-2,25,186,3.15
2463,22,-3,25,188,3.95
2464,21,-5,26,204,3.74
2467,25,-8,33,60,1.65
2468,24,-8,32,79,2.08
2471,26,-8,34,56,1.85
2472,28,-7,35,70,2.72
2473,27,-11,38,50,2.04
2474,26,-10,36,57,1.85
2475,26,-9,35,65,1.98
2476,25,-6,31,52,1.71
2477,25,-7,32,52,1.65
2479,24,-6,30,67,2.43
2480,29,-4,33,32,1.68
2482,20,-11,31,114,2.52
2483,28,-8,36,56,2.08
2484,27,-4,31,54,3.06
2485,26,-7,33,120,4.06
2486,23,-6,29,70,2.15
2487,22,-7,29,94,2.29
2488,21,-8,29,105,3.32
2489,28,-6,34,48,2.23
2490,22,-9,31,136,2.66
2491,24,-7,31,80,2.05
2492,27,-7,34,55,2.01
2493,29,-6,35,46,1.93
2494,26,-10,36,45,1.71
2495,24,-9,33,62,1.76
2496,26,-9,35,39,1.72
2497,22,-11,33,54,1.52
2498,18,-10,28,60,2.25
2499,23,-10,33,59,2.43
2504,23,-6,29,84,1.04
2506,28,-8,36,41,1.63
2508,22,-7,29,80,2.28
2510,25,-6,31,122,1.82
2511,27,-8,35,54,1.66
2515,26,-7,33,74,1.8
2516,25,3,22,365,3.69
2517,25,-1,26,133,2.85
2519,28,-8,36,54,1.6
2522,30,-1,31,105,2.34
2524,29,0,29,108,2.24
2525,26,-7,33,76,1.5
2527,27,-1,28,114,2.3
2530,28,-2,30,134,2.35
2534,29,0,29,109,2.42
2536,24,-5,29,162,2.22
2538,28,0,28,117,2.4
2540,23,-6,29,165,2.22
2541,26,-1,27,131,2.44
2543,26,-8,34,73,1.69
2544,28,-1,29,136,2.72
2546,27,-2,29,141,1.96
2549,27,-2,29,132,1.94
2552,26,-4,30,150,2.14
2556,24,-7,31,90,1.58
2557,27,-3,30,156,2.2
2558,25,-8,33,74,1.72
2561,22,-3,25,175,2.14
2563,24,-8,32,96,1.56
2564,23,-7,30,116,2.05
2567,25,-3,28,180,2.6
2568,25,-7,32,78,1.88
2570,23,-7,30,55,1.55
2572,25,-6,31,84,1.88
2573,24,-7,31,41,1.86
2580,28,-1,29,125,2.93
2588,26,-8,34,29,1.57
2591,24,-7,31,66,1.94
2593,25,-7,32,65,1.88
2596,21,-7,28,195,1.95
2599,21,-4,25,179,2.52
2601,26,-6,32,64,1.86
2604,27,-2,29,182,2.77
2607,25,1,24,209,3.48
2609,22,-4,26,219,2.73
2611,27,1,26,202,3.37
2612,20,-8,28,119,2.25
2615,29,-2,31,169,2.84
2623,25,-3,28,204,2.84
2627,26,-2,28,208,3.11
2628,26,-4,30,205,2.82
2630,22,-5,27,221,2.84
2632,23,-3,26,233,3.11
2634,23,-3,26,244,2.82
2635,21,-7,28,237,3.06
2640,26,2,24,210,3.65
2649,25,-4,29,201,2.82
2654,25,1,24,250,3.65
2655,24,-6,30,175,2.7
2656,24,-6,30,175,2.7
2657,26,-5,31,62,2.24
2661,21,-10,31,104,1.69
2662,22,1,21,206,3.38
2667,25,1,24,230,3.76
2669,20,-7,27,241,3.32
2672,25,-2,27,191,3.45
2674,21,-6,27,222,3.46
2675,22,-3,25,257,3.45
2678,23,-3,26,234,3.45
2679,22,-3,25,286,3.59
2682,23,-3,26,231,3.59
2684,24,-3,27,203,3.44
2688,22,-4,26,200,3.23
2690,24,-2,26,195,3.15
2693,23,-4,27,171,3.28
2694,20,0,20,240,2.17
2697,25,-1,26,166,4.07
2701,21,-2,23,212,5.52
2708,22,-9,31,120,2.6
2710,17,-7,24,319,3.79
2713,19,-11,30,117,2.34
2715,21,-4,25,369,7.87
2717,23,-9,32,87,3.14
2720,23,-3,26,267,5.07
2723,22,-3,25,266,5.07
2727,20,-4,24,314,4.69
2742,22,-7,29,109,2.83
2743,18,-4,22,341,5.5
2746,24,-3,27,256,3.63
2748,20,-3,23,254,3.63
2749,18,-5,23,277,3.61
2752,20,-6,26,202,3.84
2753,21,-7,28,110,2.39
2754,26,-8,34,104,3.07
2756,24,-3,27,203,3.35
2759,18,-5,23,195,3.35
2762,18,-6,24,194,2.94
2764,20,-6,26,182,2.87
2765,19,-5,24,216,3.74
2766,17,-6,23,227,3.44
2768,18,-11,29,189,2.54
2770,20,-4,24,340,6.44
2776,19,-4,23,299,3.91
2778,22,-6,28,277,3.09
2780,19,-10,29,254,2.27
2782,19,-10,29,148,1.72
2784,19,-10,29,87,1.87
2790,16,-11,27,91,1.6
2791,23,-12,35,64,1.28
2792,21,-10,31,78,1.8
2802,16,-10,26,134,1.8
2803,27,-4,31,50,3.2
2810,26,-4,30,51,3.2
2813,17,-7,24,319,4.07
2814,26,1,25,186,4.06
2820,27,1,26,171,4.06
2827,26,1,25,183,4.06
2834,27,1,26,165,4.06
2841,26,1,25,183,4.06
2848,26,0,26,182,4.06
2855,26,0,26,157,3.72
2856,30,-7,37,34,1.54
2859,27,1,26,117,4.77
2860,24,1,23,97,12.3
2865,29,-1,30,43,3.43
2867,28,-1,29,52,3.43
2869,27,-1,28,64,3.43
2871,26,0,26,127,6.77
2875,26,0,26,159,6.77
2880,26,0,26,162,6.77
2883,27,0,27,93,5.45
2886,27,0,27,77,5.45
2889,27,-1,28,75,3.96
2892,26,1,25,180,6.51
2895,26,0,26,200,6.51
2898,27,0,27,82,5.45
2901,29,-1,30,42,3.43
2905,29,-1,30,43,3.43
2915,27,-1,28,76,3.96
2918,28,-1,29,69,4.24
2922,27,-1,28,79,4.24
2925,26,0,26,194,6.51
2928,26,1,25,181,6.51
2931,26,0,26,187,7.98
2933,27,1,26,156,7.4
2935,25,0,25,192,7.99
2956,30,-1,31,39,3.43
2958,30,-1,31,49,3.43
2960,28,-1,29,54,3.43
2962,26,1,25,180,7.27
2966,26,1,25,170,7.27
2969,26,1,25,174,7.27
2971,27,-1,28,120,5.45
2973,28,-1,29,77,5.45
2976,26,0,26,109,5.45
2978,28,-1,29,90,5.45
2981,27,0,27,75,3.96
2984,28,-1,29,70,4.24
2987,28,0,28,76,4.24
2989,27,-1,28,79,4.24
2994,26,0,26,180,6.77
2996,25,0,25,210,7.99
2998,26,1,25,180,7.99
3000,26,1,25,121,7.98
3003,27,1,26,131,7.66
3006,26,1,25,160,7.4
3008,26,1,25,184,7.4
3010,26,1,25,181,7.4
3012,26,1,25,196,7.87
3014,26,0,26,211,7.27
3016,26,1,25,194,6.51
3018,26,0,26,191,6.51
3025,27,-3,30,45,2.92
3028,28,-2,30,59,2.89
3032,28,-1,29,61,2.89
3037,26,-3,29,86,3.63
3038,30,-2,32,52,3.25
3039,30,-2,32,53,3.25
3040,24,2,22,92,11.7
3041,27,1,26,109,5.39
3042,27,1,26,108,5.39
3043,30,-4,34,39,1.79
3044,27,1,26,116,5.9
3046,31,-1,32,51,3.72
3047,27,-6,33,30,2.45
3048,27,-6,33,30,2.45
3049,27,-6,33,31,2.45
3052,30,-6,36,42,2.04
3053,29,-8,37,35,1.89
3054,29,-6,35,38,1.4
3056,22,-7,29,138,3.49
3057,24,-6,30,103,3.49
3058,24,-6,30,124,3.93
3059,27,-5,32,106,3.93
3060,22,-7,29,146,3.93
3061,31,-3,34,21,3.05
3064,18,-10,28,140,2.89
3065,28,-7,35,49,1.72
3066,29,-5,34,61,2.21
3067,21,-8,29,90,1.88
3068,23,1,22,112,13.25
3105,26,0,26,202,7.02
3106,26,0,26,202,7.02
3107,26,0,26,202,7.02
3108,25,-12,37,29,2.17
3109,25,-13,38,31,2.16
3112,23,-2,25,241,5.14
3116,26,1,25,183,3.29
3119,26,0,26,151,3.16
3122,21,2,19,252,3.16
3125,24,-5,29,145,2.16
3128,25,1,24,159,3.77
3131,26,0,26,127,3.61
3134,25,0,25,130,6.67
3137,27,0,27,119,5.49
3140,28,-2,30,224,3.2
3146,22,0,22,226,4.38
3149,21,-1,22,283,3.08
3151,27,-3,30,193,2.61
3154,24,2,22,92,11.46
3157,26,0,26,118,11.19
3161,28,-6,34,76,2.24
3164,24,-1,25,249,5.28
3189,30,-7,37,28,2.46
3190,24,1,23,107,8.17
3191,23,-6,29,110,2.77
3192,22,-7,29,119,2.77
3193,23,-6,29,113,2.77
3194,24,-6,30,106,2.73
3195,24,-6,30,105,2.83
3196,30,-6,36,41,1.83
3200,26,-5,31,58,2.38
3201,26,2,24,298,2.19
3202,31,-1,32,51,3.72
3203,22,0,22,94,8.32
3204,24,1,23,146,9.15
3205,32,-4,36,42,2.25
3207,31,-1,32,46,3.72
3222,26,1,25,181,7.99
3226,25,0,25,215,7.27
3230,25,0,25,199,7.27
3234,24,-1,25,236,7.27
3239,25,-1,26,225,7.27
3247,20,-4,24,338,7.87
3250,23,-2,25,295,7.27
3253,23,-2,25,301,7.27
3256,27,-1,28,77,3.96
3257,26,-2,28,80,3.96
3258,27,-1,28,76,3.96
3260,27,-1,28,77,3.25
3262,26,-2,28,81,3.96
3265,26,-3,29,86,4.19
3267,27,-2,29,81,5.45
3269,27,-1,28,82,5.45
3270,25,-4,29,93,5.45
3272,25,-4,29,112,5.45
3274,25,-4,29,113,5.45
3276,25,-3,28,94,5.45
3278,26,-2,28,89,5.45
3280,26,-2,28,86,5.45
3281,27,0,27,88,5.45
3283,26,-2,28,86,5.45
3284,28,-1,29,71,4.24
3286,27,-1,28,64,3.43
3288,27,-2,29,63,3.43
3289,28,-1,29,57,3.43
3291,28,-1,29,52,3.43
3292,28,-2,30,46,3.43
3294,27,-3,30,53,3.43
3295,27,0,27,75,3.96
3296,27,0,27,74,3.96
3297,28,-1,29,76,4.24
3298,27,-2,29,65,3.43
3301,28,-2,30,58,3.43
3302,28,-2,30,60,3.43
3303,26,-4,30,68,3.82
3304,28,-1,29,64,4.24
3305,28,-2,30,79,4.24
3309,26,0,26,202,7.27
3312,26,-1,27,228,6.51
3314,26,-1,27,232,4.75
3317,26,0,26,215,6.51
3319,26,-2,28,80,3.96
3320,26,0,26,210,6.51
3322,24,-1,25,235,6.51
3326,25,-1,26,231,6.47
3329,25,-1,26,236,6.47
3333,26,-3,29,82,3.96
3336,23,-1,24,296,7.87
3338,26,0,26,146,6.77
3341,27,-1,28,100,5.45
3343,26,-1,27,181,6.77
3345,26,-2,28,195,6.77
3348,26,-1,27,169,6.77
3351,23,-1,24,268,7.4
3353,25,-4,29,86,3.96
3356,22,-3,25,316,7.87
3359,21,-4,25,350,7.87
3361,26,-4,30,85,3.96
3364,26,-3,29,80,3.63
3366,26,-4,30,87,3.96
3369,26,-4,30,90,3.25
3371,29,-2,31,42,3.43
3373,28,-2,30,44,3.43
3375,29,-1,30,46,3.43
3377,27,-3,30,43,2.89
3379,28,-3,31,41,3.43
3382,25,0,25,197,6.51
3419,26,-7,33,86,1.82
3422,27,-9,36,44,1.58
3423,27,0,27,129,4.02
3424,26,1,25,111,8.44
3425,28,-7,35,55,1.83
3426,26,1,25,100,9.11
3427,24,1,23,92,2.95
3428,24,1,23,97,12.3
3430,27,-7,34,51,1.04
3431,20,-6,26,169,2.73
3432,24,-6,30,105,2.73
3434,27,1,26,118,5.74
3435,27,1,26,117,5.9
3436,27,1,26,115,6.1
3437,27,1,26,118,4.77
3438,27,1,26,118,5.74
3439,27,1,26,131,3.81
3440,27,1,26,133,3.81
3441,31,-1,32,48,2.93
3442,26,-3,29,80,4.24
3443,26,-2,28,95,5.45
3444,28,-3,31,49,3.46
3445,29,-3,32,43,2.5
3446,26,-3,29,144,4.15
3447,24,-4,28,109,5.45
3448,27,-2,29,112,5.45
3451,24,-1,25,331,8.82
3452,22,-4,26,334,7.27
3454,25,-1,26,207,6.51
3455,25,-1,26,186,6.51
3457,26,0,26,243,7.99
3458,24,0,24,343,8.82
3461,28,1,27,85,3.46
3462,23,-6,29,219,2.72
3463,26,1,25,120,8.88
3464,25,0,25,131,8.41
3465,25,0,25,125,12.78
3466,30,-6,36,31,2.03
3469,27,1,26,119,4.28
3470,27,1,26,117,4.28
3471,24,0,24,373,2.19
3472,22,-8,30,157,2.27
3473,22,-7,29,247,2.69
3474,24,-3,27,261,3.92
3475,18,-10,28,266,2.42
3477,18,-6,24,246,3.32
3479,28,1,27,88,4.16
3480,32,-5,37,46,2.18
3494,26,-11,37,31,3.41
3496,27,-11,38,31,2.67
3498,27,-1,28,182,6.33
3505,28,-5,33,66,3.23
3506,28,-2,30,224,3.33
3507,28,-2,30,223,3.33
3508,28,-2,30,223,3.33
3509,28,-2,30,224,3.33
3510,28,-2,30,223,3.33
3511,28,-2,30,223,3.33
3551,24,-9,33,92,1.57
3552,24,-9,33,92,1.57
3553,31,-1,32,52,3.44
3554,31,-1,32,52,3.44
3560,25,-10,35,43,1.81
3561,25,-10,35,43,1.81
3562,30,-6,36,42,2.04
3563,31,-3,34,21,8.93
3564,27,1,26,111,4.94
3565,27,0,27,114,4.94
3566,27,1,26,112,4.94
3568,27,0,27,113,4.94
3569,26,0,26,114,4.94
3605,24,1,23,96,13.25
3606,26,1,25,113,10.41
3607,30,-2,32,59,3.72
3608,26,-8,34,56,1.71
3609,28,-8,36,47,1.71
3610,26,-8,34,58,1.7
3611,26,-7,33,57,1.7
3612,25,-8,33,61,1.7
3613,27,-7,34,53,1.71
3614,29,-7,36,46,1.71
3615,28,-8,36,46,1.71
3616,24,0,24,382,3.16
3628,24,2,22,102,13.25
3629,24,1,23,100,11.03
3630,29,-6,35,47,1.93
3631,30,-6,36,48,1.93
3632,34,-3,37,42,2.41
3634,32,-4,36,44,2.41
3636,32,-4,36,42,2.28
3637,31,-4,35,46,2.41
3638,26,-7,33,79,1.7
3640,34,-3,37,41,1.87
3641,31,-5,36,46,2.21
3644,33,-3,36,41,1.87
3646,29,-5,34,48,1.87
3647,26,-10,36,46,1.72
3648,26,-7,33,66,2.74
3649,29,-5,34,49,2.74
3652,30,-7,37,45,1.34
3653,28,-7,35,47,1.52
3655,25,0,25,124,4.74
3656,32,-3,35,39,1.97
3657,32,-4,36,39,2.28
3658,32,-3,35,39,2.28
3659,32,-4,36,40,2.28
3660,25,-6,31,96,3.49
3661,25,-6,31,100,3.49
3662,19,-10,29,103,2.35
3663,19,-9,28,104,2.35
3664,20,-9,29,96,2.17
3665,22,-9,31,90,2.17
3666,30,-2,32,53,3.25
3668,25,0,25,121,6.46
3669,23,0,23,145,7.23
3670,28,-1,29,57,3.2
3674,30,-7,37,47,1.66
3675,30,-7,37,49,1.66
3676,27,1,26,120,4.38
3694,26,0,26,151,4.12
3696,24,2,22,94,13.25
3697,32,-7,39,26,3.32
3699,26,-7,33,80,1.7
3700,23,-6,29,82,1.9
3737,23,0,23,105,4.83
3740,24,1,23,98,13.25
3745,25,0,25,126,6.23
3748,24,-9,33,52,3.68
3749,28,-8,36,36,2.97
3750,28,-9,37,35,3.25
3751,23,-10,33,87,2.05
3753,27,-7,34,39,2.62
3754,20,-1,21,302,3.98
3762,29,-5,34,48,2.74
3763,29,-8,37,30,2.15
3764,17,-11,28,121,2.4
3822,26,1,25,116,12.78
3823,26,0,26,181,6.43
3828,30,-5,35,35,1.96
3829,28,-7,35,58,1.83
3831,16,-9,25,333,4.28
3836,24,-1,25,220,3.29
3841,24,-1,25,217,3.29
3850,24,-1,25,217,3.37
3851,23,-2,25,232,3.37
3852,24,-1,25,220,3.37
3853,24,-1,25,220,3.37
3854,24,-1,25,220,3.37
3855,24,-1,25,220,3.37
3865,20,-10,30,79,1.88
3881,29,-6,35,54,1.82
3884,24,1,23,174,3.02
3889,20,3,17,175,3.58
3891,19,3,16,171,3.79
3902,19,3,16,168,3.79
3904,20,3,17,175,2.15
3906,19,3,16,162,1.91
3908,20,3,17,171,2.05
3909,27,-7,34,59,2.06
3910,27,-7,34,64,2.06
3914,22,0,22,372,2.09
3915,22,0,22,381,2.19
3917,23,0,23,347,2.09
3918,22,0,22,381,2.19
3919,22,0,22,372,2.19
3921,23,0,23,367,2.09
3922,27,-7,34,72,1.8
3923,28,-7,35,69,1.8
3924,24,1,23,107,9.28
3925,28,-6,34,40,1.81
3927,26,1,25,153,7.66
3928,23,-1,24,112,4.55
3930,23,-1,24,129,4.55
3933,23,-2,25,126,4.55
3934,23,-1,24,112,4.55
3935,23,-2,25,122,4.55
3972,21,-4,25,377,7.87
3974,24,0,24,234,6.98
3977,30,-6,36,41,2.2
3979,25,0,25,127,6.23
3981,34,-2,36,40,1.87
3982,32,-4,36,43,2.21
3984,34,-2,36,40,2.21
3987,31,-5,36,45,1.85
3990,25,-4,29,101,5.09
3993,28,-3,31,77,3.44
3994,25,1,24,129,6.46
3995,26,0,26,121,12.78
3996,24,1,23,106,11.78
3997,31,0,31,81,2.49
3999,31,0,31,81,2.76
4002,27,-2,29,86,3.98
4006,25,-1,26,162,2.09
4007,23,-8,31,86,2.21
4008,20,-10,30,86,1.72
4009,27,0,27,160,3.71
4012,25,0,25,130,4.19
4013,27,1,26,110,12.78
4016,23,1,22,99,11.03
4017,27,1,26,101,7.63
4018,27,1,26,101,7.63
4019,18,-11,29,153,2.41
4020,18,-10,28,188,4.03
4021,19,-9,28,183,4.03
4022,24,-8,32,98,4.59
4023,27,1,26,115,7.98
4024,25,1,24,124,6.08
4025,25,1,24,121,5.79
4026,25,0,25,139,4.69
4027,23,1,22,100,2.39
4028,24,2,22,92,11.7
4029,24,2,22,92,11.7
4032,24,-1,25,276,2.21
4035,26,-8,34,49,1.38
4037,28,-9,37,37,1.38
4038,26,-8,34,52,1.42
4041,26,-8,34,45,1.38
4042,27,-9,36,47,1.69
4043,17,-10,27,92,1.59
4045,31,-1,32,51,3.72
4046,21,-5,26,157,2.85
4048,24,1,23,105,8.17
4049,30,-2,32,51,3.25
4051,25,-13,38,59,4.02
4052,24,1,23,105,7.88
4053,28,-6,34,47,5.05
4054,29,-5,34,44,4.83
4055,29,-5,34,46,3.31
4056,27,-7,34,63,4.33
4057,21,-8,29,111,4.31
4058,20,-10,30,112,4.31
4059,29,-5,34,44,4.83
4060,29,-5,34,44,4.83
4061,28,-6,34,60,4.17
4062,28,-5,33,45,3.62
4063,30,-5,35,45,3.31
4064,27,0,27,75,5.45
4065,27,-6,33,83,3.26
4066,24,1,23,136,8.62
4104,26,-8,34,54,2.04
4105,25,-7,32,56,2.04
4106,26,-8,34,54,2.04
4108,26,-8,34,52,1.66
4110,26,-8,34,51,1.66
4112,26,-8,34,49,1.69
4114,24,1,23,105,7.88
4115,32,-3,35,67,3.14
4116,24,1,23,104,9.28
4118,25,-7,32,59,2.29
4119,24,0,24,130,5.45
4124,27,-1,28,73,3.96
4125,27,1,26,109,7.13
4126,26,-4,30,82,3.52
4129,26,1,25,113,10.41
4133,30,-5,35,91,3.17
4134,31,-3,34,20,8.93
4135,24,2,22,95,13.25
4136,24,2,22,95,13.25
4137,24,1,23,95,13.25
4138,28,1,27,84,3.46
4139,22,-9,31,95,2.4
4140,31,-3,34,22,3.79
4141,24,1,23,105,9.28
4151,22,-4,26,190,5.34
4152,22,-4,26,190,5.34
4153,24,2,22,95,13.25
4154,30,-5,35,23,2.27
4156,23,0,23,114,6.92
4157,26,1,25,113,6.58
4158,27,-3,30,84,3.09
4159,19,-4,23,320,4.88
4160,24,2,22,102,13.25
4167,27,1,26,108,5.39
4178,29,-5,34,50,2.29
4179,24,-9,33,72,1.62
4180,18,-2,20,321,2.21
4181,24,1,23,96,2.95
4182,25,0,25,128,6.46
4183,20,-7,27,76,2.03
4184,21,-7,28,70,2.03
4185,19,-7,26,89,2.03
4186,19,-7,26,87,2.03
4188,25,-6,31,47,2.03
4921,15.77,-4.78,20.55,361,0.75
4923,14.95,-2.9,17.85,355,0.34
4925,15.26,-3.31,18.57,408,0.25
4926,15.8,-3.37,19.17,379,0.76
4928,17.18,-8.67,25.85,199,0.84
4929,15.85,-4.36,20.21,302,0.12
4930,16.13,-4.95,21.08,278,0.75
4931,16.08,-3.88,19.96,295,1.4
4933,15.83,-2.8,18.63,337,0.44
4935,15.76,-3.41,19.17,396,0.54
4938,15.1,-4.29,19.39,330,0.25
4939,15.08,-5.41,20.49,389,0.68
4940,15.66,-4.66,20.32,346,0.44
4941,15.64,-4.65,20.29,386,0.44
4943,15.85,-3.08,18.93,338,0.75
4947,15.85,-4.45,20.3,316,0.75
4954,15.6,-3.78,19.38,688,1.15
4955,15.38,-4.18,19.56,731,0.18
4963,15.68,-3.19,18.87,367,0.75
4965,15.77,-5.28,21.05,314,0.75
4970,15.32,-3.93,19.25,356,0.75
4971,15.1,-4.29,19.39,330,0.75
4975,15.9,-3.54,19.44,319,0.75
4979,16.37,-5.16,21.53,302,0.75
4993,15.2,-8.37,23.57,181,0.75
4995,15.71,-4.8,20.51,310,0.75
4996,15.04,-5.95,20.99,385,0.75
4997,15.75,-3.64,19.39,321,0.75
4999,15.75,-3.65,19.4,325,0.75
5000,15.87,-4.16,20.03,326,0.75
5001,16.94,-2.65,19.59,175,1.52
5004,16.39,-2.56,18.95,178,1.72
5009,18.51,-5.96,24.47,91,0.93
5016,18.6,-5.58,24.18,79,1.05
5022,16.3,-10.05,26.35,149,1.4
5023,18.33,-5.66,23.99,78,1.22
5029,18.33,-5.66,23.99,78,1.33
5036,17.63,-6.51,24.14,88,0.96
5048,16.83,-7.05,23.88,100,0.71
5052,14.86,-5.51,20.37,162,1.22
5053,15.5,-4.39,19.89,157,0.81
5056,16.73,-1.06,17.79,245,2.18
5060,17.09,-3.11,20.2,287,0.75
5061,17.23,-2.33,19.56,265,0.75
5063,18.56,-1.96,20.52,222,0.75
5064,18.34,-2.15,20.49,239,0.75
5065,16.78,-3.07,19.85,340,0.75
5066,15.05,-4.85,19.9,361,0.75
5067,15.64,-4.49,20.13,378,0.75
5068,17.77,-2.2,19.97,223,0.75
5069,17.07,-2.77,19.84,314,0.75
5070,17.87,-2.18,20.05,214,0.75
5071,18.17,-2.14,20.31,218,0.75
5072,17.78,-1.93,19.71,217,0.75
5075,17.88,-2.3,20.18,245,0.75
5076,17.87,-2.32,20.19,247,0.75
5077,17.9,-2.34,20.24,231,0.75
5078,17.29,-3.21,20.5,288,0.75
5079,17.58,-2.27,19.85,226,0.75
5080,17.7,-2.32,20.02,237,0.75
5081,17.65,-2.12,19.77,207,0.75
5082,17.76,-2.02,19.78,227,0.75
5083,17.22,-2.42,19.64,236,0.75
5084,17.62,-2.34,19.96,247,0.75
5085,17.62,-2.34,19.96,247,0.75
5087,17.43,-2.97,20.4,298,0.5
5088,17.44,-2.95,20.39,292,0.99
5091,17.79,-2.26,20.05,230,0.75
5093,17.78,-2.2,19.98,226,0.75
5095,16.68,-0.72,17.4,299,0.84
5097,16.51,-0.86,17.37,300,0.75
5098,16.85,-3.71,20.56,291,0.75
5099,16.94,-3.76,20.7,372,0.75
5100,16.5,-1.48,17.98,172,0.75
5101,16.98,-1.6,18.58,195,0.52
5102,16.98,-1.6,18.58,195,0.75
5103,15.59,-3.44,19.03,357,0.79
5104,14.93,-4.36,19.29,336,0.76
5106,16.84,-2.49,19.33,297,0.5
5107,17.37,-3.14,20.51,155,0.75
5109,16.73,-4.24,20.97,279,0.75
5110,16.73,-4.24,20.97,279,0.75
5113,17.52,-2.51,20.03,252,0.75
5114,17.1,-2.78,19.88,285,0.75
5115,17.1,-2.78,19.88,285,0.75
