"","megadbid","Area","N","coast_km","maxaug_c","mindec_c","continen","precip_cm","CMD","Abn_Cya_l","Abn_Cya_s_m","Abn_For_p","Abn_For_sh","Abn_Mtx_m_l","Abn_Mtx_s","Abn_For_sum34_max8","Abn_Cya_sum34_max8","Abn_Mtx_sum34_max8","Abn_eutr","Abn_inter","Abn_meso","Abn_olig","Abn_sens","Abn_tol","Abn_Max_Cya","Abn_Max_For","Abn_Max_Mtx","Abn_Max_eutr","Abn_Max_inter","Abn_Max_meso","Abn_Max_olig","Abn_Max_sens","Abn_Max_tol","Abn_Log_Cya","Abn_Log_For","Abn_Log_Mtx","Abn_Log_eutr","Abn_Log_inter","Abn_Log_meso","Abn_Log_olig","Abn_Log_sens","Abn_Log_tol","Abn_Cya_sum34_max4","Abn_For_sum34_max4","Abn_Mtx_sum34_max4"
"1024",103812,"West",3.31,558,23,-10,33,110,229,0,0,3,3,3,3,6,0,6,6,12,15,54,42,15,0,3,3,3,3,3,3,3,3,0,0.61,1.32,0.1,0.1,0.1,0.1,0.1,0.1,0,18,39
"1025",1767,"West",2.72,169,22,-6,28,216,241,0,0,4,3,4,4,7,0,8,4,8,12,64,49,8,0,4,4,4,4,4,4,4,4,0,5.3,7.101,1,1,1,1,1,1,0,29,31
"1026",103918,"West",3.9,28,24,0,24,235,222,0,0,0,3,3,3,3,0,6,12,6,0,9,0,6,0,3,3,3,3,0,3,0,3,0,0.122,0.376,0.1,0.1,0.01,0.1,0.01,0.1,0,3,9
"1027",101589,"West",4.87,1069,19,-11,30,74,228,0,3,3,3,3,3,6,3,6,3,6,15,30,36,6,3,3,3,3,3,3,3,3,3,0.1,0.3,0.511,0.1,0.1,0.1,0.1,0.1,0.1,3,9,15
"1028",102975,"West",3.78,1,21,2,19,178,263,0,0,0,3,0,0,3,0,0,9,0,0,0,0,3,0,3,0,3,0,0,0,0,3,0,0.2,0.03,0.1,0,0,0.01,0.01,0.1,0,6,0
"1029",103570,"West",2.3,532,21,-14,35,93,258,0,0,3,3,3,0,6,0,3,0,0,6,18,21,0,0,3,3,0,0,3,3,3,0,0,0.4,0.211,0,0.01,0.1,0.1,0.1,0,0,12,6
"1030",2234,"West",3.11,113,21,-4,25,203,208,0,0,4,3,4,3,7,0,7,0,4,7,42,37,4,0,4,4,0,4,4,4,4,4,0,3.21,2.341,0,1,1,1,1,1,0,18,17
"1031",3498,"West",6.33,112,27,-1,28,182,309,3,3,3,4,4,0,7,6,4,35,13,19,25,28,29,3,4,4,4,4,4,4,4,4,0.412,2.211,2.051,1,1,1,1,1,1,12,14,34
"1032",103638,"West",3.42,152,24,-4,28,161,313,3,0,3,3,3,3,6,3,6,6,12,15,39,42,6,3,3,3,3,3,3,3,3,3,0.21,0.7,0.86,0.1,0.1,0.1,0.1,0.1,0.1,6,21,24
"1033",103384,"West",4.04,17,23,1,22,221,244,0,0,3,3,3,3,6,0,6,15,9,9,21,21,9,0,3,3,3,3,3,3,3,3,0,0.412,0.741,0.1,0.1,0.1,0.1,0.1,0.1,0,12,21
"1034",103875,"West",2.32,129,22,-7,29,89,572,0,3,3,3,3,0,6,3,3,0,3,9,30,30,0,3,3,3,0,3,3,3,3,0,0.1,0.441,0.623,0,0.1,0.1,0.1,0.1,0.001,3,12,18
"1035",834,"West",2.39,161,22,-6,28,131,522,0,0,4,4,3,3,8,0,6,0,6,3,57,54,0,0,4,3,0,3,3,4,4,0,0,3.6,0.712,0,0.1,0.1,1,1,0.001,0,30,21
"1036",104007,"West",2.84,474,25,-8,33,96,246,0,0,3,4,4,3,7,0,7,9,9,12,41,38,12,0,4,4,3,3,3,4,4,3,0,2.14,3.811,0.1,0.1,0.1,1,1,0.1,0,11,36
"1037",4043,"West",1.59,135,17,-10,27,92,229,0,0,4,4,0,3,8,0,3,0,3,0,48,41,0,0,4,3,0,3,0,4,4,0,0,8.001,0.203,0,0.1,0,1,1,0,0,32,6
"1038",105088,"West",2.87,957,19,-14,33,94,234,0,0,3,3,3,3,6,0,6,6,0,12,12,24,6,0,3,3,3,0,3,3,3,3,0,0.21,0.501,0.1,0.001,0.1,0.1,0.1,0.1,0,6,15
"1039",2495,"West",1.76,281,24,-9,33,62,373,0,0,3,0,3,3,3,0,6,6,12,12,42,24,15,0,3,3,3,3,3,3,3,3,0.001,0.42,1.022,0.1,0.1,0.1,0.1,0.1,0.1,0,12,30
"1040",2994,"West",6.77,113,26,0,26,180,331,0,0,3,4,4,3,7,0,7,37,19,38,31,46,29,0,4,4,4,4,4,4,4,4,0.011,1.6,3.21,1,1,1,1,1,1,0,22,44
"1041",104012,"West",3.11,414,26,-8,34,109,360,0,0,3,3,3,3,6,0,6,3,18,18,69,54,6,0,3,3,3,3,3,3,3,3,0.01,0.71,1.42,0.1,0.1,0.1,0.1,0.1,0.1,0,21,42
"1042",2132,"West",2.66,390,24,-8,32,97,285,0,0,4,4,4,3,8,0,7,3,3,6,51,51,3,0,4,4,3,3,3,4,4,3,0,3.213,2.721,0.1,0.1,0.1,1,1,0.1,0,18,29
"1043",3431,"West",2.73,93,20,-6,26,169,182,0,0,4,3,3,3,7,0,6,0,6,3,53,40,3,0,4,3,0,3,3,4,4,3,0,1.8,0.51,0,0.1,0.1,1,1,0.1,0,28,15
"1044",104821,"West",2.52,877,23,-10,33,62,195,0,0,3,4,3,3,7,0,6,3,3,6,28,28,3,0,4,3,3,3,3,4,4,3,0.01,1.321,0.534,0.1,0.1,0.1,1,1,0.1,0,13,15
"1045",101275,"West",3.93,860,25,-11,36,73,454,0,0,0,0,3,3,0,0,6,3,0,15,0,18,3,0,0,3,3,0,3,0,3,3,0,0,0.51,0.1,0,0.1,0,0.1,0.1,0,0,15
"1046",101660,"West",3.92,950,22,-9,31,56,379,0,0,0,4,4,3,4,0,7,14,8,22,7,30,3,0,4,4,4,4,4,4,4,3,0,1,3.5,1,1,1,1,1,0.1,0,4,27
"1047",102292,"West",6.03,1152,20,-14,34,117,292,0,0,3,3,4,3,6,0,7,6,0,14,9,19,6,0,3,4,3,0,4,3,4,3,0,0.21,1.3,0.1,0,1,0.1,1,0.1,0,6,13
"1048",103571,"West",3.16,562,22,-14,36,86,275,0,0,4,4,4,3,8,0,7,0,3,0,30,30,0,0,4,4,0,3,0,4,4,0,0,2.212,1.313,0.01,0.1,0.001,1,1,0.01,0,14,13
"1049",103592,"West",2.68,518,25,-13,38,96,326,0,0,3,3,3,3,6,0,6,0,3,0,33,30,0,0,3,3,0,3,0,3,3,0,0,0.411,0.42,0,0.1,0.01,0.1,0.1,0,0,12,12
"1050",2022,"West",3.3,154,24,-5,29,108,380,0,0,4,4,4,4,8,0,8,3,7,13,72,58,10,0,4,4,3,4,4,4,4,4,0.001,3.42,5.841,0.1,1,1,1,1,1,0,24,44
"1051",102653,"West",2.61,154,20,-8,28,158,292,0,0,3,3,0,3,6,0,3,0,3,0,27,21,0,0,3,3,0,3,0,3,3,0,0,0.501,0.21,0,0.1,0,0.1,0.1,0,0,15,6
"1052",103582,"West",2.94,524,22,-15,37,108,193,0,0,3,3,3,3,6,0,6,3,3,6,42,36,3,0,3,3,3,3,3,3,3,3,0,0.5,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0,15,21
"1053",104811,"West",2.21,730,21,-12,33,56,226,0,0,3,3,3,0,6,0,3,6,6,12,24,24,6,0,3,3,3,3,3,3,3,3,0,0.413,0.532,0.1,0.1,0.1,0.1,0.1,0.1,0,12,15
"1054",102568,"West",3.41,1087,20,-18,38,71,266,0,0,0,0,3,3,0,0,6,3,3,3,9,9,3,0,0,3,3,3,3,3,3,3,0,0.01,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,0,9
"1055",104902,"West",2.18,766,21,-12,33,60,231,0,0,0,3,3,0,3,0,3,3,0,3,6,12,3,0,3,3,3,0,3,3,3,3,0,0.11,0.31,0.1,0.01,0.1,0.1,0.1,0.1,0,3,9
"1056",103372,"West",4.23,121,25,0,25,177,263,3,0,3,3,3,3,6,3,6,15,9,15,27,36,12,3,3,3,3,3,3,3,3,3,0.323,0.321,0.821,0.1,0.1,0.1,0.1,0.1,0.1,9,9,24
"1057",949,"West",2.17,163,22,-6,28,165,347,0,0,4,4,3,0,8,0,3,0,0,0,27,27,0,0,4,3,0,0,0,4,4,0,0,3.301,0.216,0,0.001,0.001,1,1,0.001,0,21,6
"1058",101615,"West",3.52,1042,19,-12,31,71,324,0,0,0,4,4,0,4,0,4,6,0,11,4,14,6,0,4,4,3,0,4,4,4,3,0,1.001,1.301,0.1,0,1,1,1,0.1,0,4,13
"1059",3382,"West",6.51,103,25,0,25,197,279,0,0,0,3,4,4,3,0,8,32,16,31,19,36,24,0,3,4,4,4,4,4,4,4,0.002,0.31,4.924,1,1,1,1,1,1,0,9,43
"1060",103573,"West",2.83,520,22,-12,34,101,288,0,0,4,3,0,3,7,0,3,0,3,0,13,10,0,0,4,3,0,3,0,4,4,0,0,1.11,0.113,0,0.1,0.001,1,1,0,0,7,3
"1061",104155,"West",2.41,307,23,-8,31,59,360,0,0,3,3,3,3,6,0,6,3,6,3,54,42,6,0,3,3,3,3,3,3,3,3,0,0.703,0.815,0.1,0.1,0.1,0.1,0.1,0.1,0,21,24
"1062",105105,"West",3.65,864,23,-15,38,94,277,0,0,3,0,0,0,3,0,0,0,0,0,6,6,0,0,3,0,0,0,0,3,3,0,0,0.12,0.02,0,0,0.01,0.1,0.1,0,0,3,0
"1063",2144,"West",5.34,121,21,-5,26,203,257,0,0,3,3,4,0,6,0,4,9,9,21,31,25,12,0,3,4,3,3,3,4,4,3,0,0.602,1.831,0.1,0.1,0.1,1,1,0.1,0,18,28
"1064",104901,"West",2.99,806,22,-12,34,67,247,0,0,3,3,3,3,6,0,6,0,9,3,30,27,0,0,3,3,0,3,3,3,3,0,0,0.5,0.3,0,0.1,0.1,0.1,0.1,0,0,15,9
"1065",104226,"West",1.95,11,22,0,22,186,226,3,0,3,3,3,3,6,3,6,9,12,15,51,51,9,3,3,3,3,3,3,3,3,3,0.2,0.71,0.92,0.1,0.1,0.1,0.1,0.1,0.1,6,21,27
"1066",105157,"West",3.27,435,26,-7,33,110,304,0,0,3,3,3,3,6,0,6,6,12,18,45,36,9,0,3,3,3,3,3,3,3,3,0.01,0.63,0.97,0.1,0.1,0.1,0.1,0.1,0.1,0,18,27
"1067",103546,"West",2.16,615,21,-11,32,69,278,0,0,3,0,3,0,3,0,3,3,3,6,15,15,3,0,3,3,3,3,3,3,3,3,0,0.221,0.32,0.1,0.1,0.1,0.1,0.1,0.1,0,6,9
"1068",103663,"West",6.14,46,25,-1,26,198,261,0,0,0,3,3,0,3,0,3,9,3,3,6,6,6,0,3,3,3,3,3,3,3,3,0,0.301,0.21,0.1,0.1,0.1,0.1,0.1,0.1,0,9,6
"1069",104207,"West",1.95,151,23,-10,33,70,478,0,0,3,3,3,3,6,0,6,6,6,6,51,42,6,0,3,3,3,3,3,3,3,3,0.001,0.6,0.821,0.1,0.1,0.1,0.1,0.1,0.1,0,18,24
"1070",104860,"West",3.43,1058,19,-14,33,72,253,0,0,0,4,4,3,4,0,7,4,6,7,17,18,4,0,4,4,4,3,4,4,4,4,0,1.11,2.201,1,0.1,1,1,1,1,0,7,14
"1071",104805,"West",2.76,838,24,-10,34,69,233,0,0,3,3,3,3,6,0,6,6,6,6,36,30,6,0,3,3,3,3,3,3,3,3,0,0.51,0.721,0.1,0.1,0.1,0.1,0.1,0.1,0,15,21
"1072",1606,"West",2.02,189,19,-8,27,132,346,0,0,3,3,3,3,6,0,6,0,0,0,48,45,3,0,3,3,0,0,0,3,3,3,0,0.9,0.401,0,0.001,0,0.1,0.1,0.1,0,27,12
"1073",102682,"West",2.55,42,24,0,24,268,330,3,0,4,3,4,0,7,3,4,3,7,23,39,45,10,3,4,4,3,4,4,4,4,4,0.3,2.201,1.71,0.1,1,1,1,1,1,9,14,25
"1074",896,"West",1.82,169,22,-6,28,167,371,0,0,3,3,3,3,6,0,6,0,3,0,42,39,0,0,3,3,0,3,0,3,3,0,0,0.61,0.611,0,0.1,0.001,0.1,0.1,0.001,0,18,18
"1075",104844,"West",5.86,920,23,-15,38,121,194,0,0,3,3,4,3,6,0,7,7,3,16,24,31,7,0,3,4,4,3,4,3,4,4,0,0.61,1.321,1,0.1,1,0.1,1,1,0,18,13
"1076",2410,"West",1.72,109,17,-10,27,212,200,0,0,4,4,3,3,8,0,6,0,0,0,29,26,0,0,4,3,0,0,0,4,4,0,0,2.3,0.31,0,0,0.01,1,1,0,0,17,9
"1077",101602,"West",6.03,1114,20,-11,31,75,274,0,3,3,3,3,3,6,3,6,3,3,15,24,36,3,3,3,3,3,3,3,3,3,3,0.1,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,3,6,15
"1078",101603,"West",4.21,1107,21,-14,35,63,381,0,3,3,3,3,3,6,3,6,3,3,12,27,36,3,3,3,3,3,3,3,3,3,3,0.1,0.2,0.6,0.1,0.1,0.1,0.1,0.1,0.1,3,6,18
"1079",101613,"West",3.13,1004,18,-16,34,75,268,0,0,3,3,3,3,6,0,6,3,3,9,24,27,3,0,3,3,3,3,3,3,3,3,0,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,6,15
"1080",2413,"West",1.72,110,16,-10,26,144,256,0,0,3,3,3,3,6,0,6,0,3,0,30,24,0,0,3,3,0,3,0,3,3,0,0,0.6,0.211,0,0.1,0,0.1,0.1,0,0,18,6
"1081",102954,"West",3.32,119,26,0,26,166,368,0,0,3,3,3,3,6,0,6,9,9,27,33,45,15,0,3,3,3,3,3,3,3,3,0,0.711,1.11,0.1,0.1,0.1,0.1,0.1,0.1,0,21,33
"1082",104822,"West",2.93,875,24,-10,34,54,226,0,0,3,4,3,3,7,0,6,0,3,0,19,16,0,0,4,3,0,3,0,4,4,0,0.01,1.21,0.322,0.001,0.1,0.01,1,1,0.001,0,10,9
"1083",101935,"West",4.88,1176,19,-13,32,58,220,0,0,3,3,3,3,6,0,6,12,6,12,21,33,6,0,3,3,3,3,3,3,3,3,0,0.3,0.71,0.1,0.1,0.1,0.1,0.1,0.1,0,9,21
"1084",103382,"West",4.03,37,23,-1,24,225,343,0,0,3,3,3,3,6,0,6,6,3,9,6,18,9,0,3,3,3,3,3,3,3,3,0.001,0.3,0.601,0.1,0.1,0.1,0.1,0.1,0.1,0,9,18
"1085",102846,"West",3.02,1004,19,-14,33,54,256,0,0,3,3,3,0,6,0,3,0,0,6,9,12,0,0,3,3,0,0,3,3,3,0,0,0.201,0.11,0,0,0.1,0.1,0.1,0,0,6,3
"1086",2001,"West",3,450,24,-9,33,127,388,0,0,3,3,3,0,6,0,3,0,0,6,9,15,0,0,3,3,0,0,3,3,3,0,0,0.21,0.301,0,0,0.1,0.1,0.1,0,0,6,9
"1087",2612,"West",2.25,184,20,-8,28,119,346,0,0,3,4,4,4,7,0,8,0,3,0,56,53,0,0,4,4,0,3,0,4,4,0,0,1.81,3.203,0,0.1,0.001,1,1,0.001,0,28,18
"1088",103630,"West",3.09,357,24,-7,31,97,344,0,0,3,3,3,3,6,0,6,3,6,9,51,42,6,0,3,3,3,3,3,3,3,3,0,0.5,1.111,0.1,0.1,0.1,0.1,0.1,0.1,0,15,33
"1089",856,"West",2.45,160,22,-6,28,150,366,0,0,4,4,3,4,8,0,7,3,6,3,60,54,3,0,4,4,3,3,3,4,4,3,0,6.2,1.512,0.1,0.1,0.1,1,1,0.1,0,30,19
"1090",105113,"West",2.88,819,21,-11,32,66,187,0,0,0,3,3,0,3,0,3,0,0,0,12,15,0,0,3,3,0,0,0,3,3,0,0,0.3,0.2,0,0,0,0.1,0.1,0,0,9,6
"1091",102947,"West",2.71,102,25,-1,26,180,339,0,0,3,0,3,0,3,0,3,3,9,15,18,21,3,0,3,3,3,3,3,3,3,3,0,0.231,0.64,0.1,0.1,0.1,0.1,0.1,0.1,0,6,18
"1092",101230,"West",3.4,955,19,-14,33,50,405,0,0,0,0,3,0,0,0,3,9,0,12,0,18,3,0,0,3,3,0,3,0,3,3,0,0,0.501,0.1,0.001,0.1,0,0.1,0.1,0,0,15
"1093",3125,"West",2.16,151,24,-5,29,145,418,0,3,4,4,4,4,8,3,8,0,3,3,45,39,3,3,4,4,0,3,3,4,4,3,0.1,3.201,2.441,0.001,0.1,0.1,1,1,0.1,3,18,20
"1094",4152,"West",5.34,121,22,-4,26,190,251,0,0,3,3,4,3,6,0,7,9,7,21,35,30,13,0,3,4,3,4,4,4,4,4,0,0.501,4.511,0.1,1,1,1,1,1,0,15,31
"1095",103863,"West",2.35,379,23,-6,29,75,322,0,0,3,3,3,0,6,0,3,3,0,9,33,36,3,0,3,3,3,0,3,3,3,3,0,0.622,0.732,0.1,0.01,0.1,0.1,0.1,0.1,0,18,21
"1096",102657,"West",2.03,167,23,-6,29,164,390,0,0,3,3,3,3,6,0,6,0,6,3,39,30,6,0,3,3,0,3,3,3,3,3,0,0.7,0.3,0,0.1,0.1,0.1,0.1,0.1,0,21,9
"1097",103637,"West",3.26,163,20,-5,25,133,301,0,0,3,3,3,3,6,0,6,0,3,9,27,27,3,0,3,3,0,3,3,3,3,3,0,0.421,0.61,0,0.1,0.1,0.1,0.1,0.1,0,12,18
"1098",1246,"West",2.05,161,21,-8,29,155,327,0,0,4,4,3,0,8,0,3,0,0,0,36,36,0,0,4,3,0,0,0,4,4,0,0,6.11,0.221,0,0,0,1,1,0,0,27,6
"1099",101936,"West",4.76,1172,20,-13,33,47,314,0,0,0,3,3,3,3,0,6,6,3,15,9,24,6,0,3,3,3,3,3,3,3,3,0,0.11,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0,3,18
"1100",105118,"West",2.48,518,22,-14,36,93,288,0,0,3,3,3,0,6,0,3,3,0,0,12,6,3,0,3,3,3,0,0,3,3,3,0,0.3,0.11,0.1,0,0,0.1,0.1,0.1,0,9,3
"1101",103558,"West",2.44,589,24,-12,36,89,290,0,0,3,3,3,3,6,0,6,3,6,3,48,42,3,0,3,3,3,3,3,3,3,3,0,0.6,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0,18,24
"1102",910,"West",1.85,167,23,-6,29,162,390,0,0,4,3,3,3,7,0,6,0,6,3,38,32,3,0,4,3,0,3,3,4,4,3,0.001,2.3,0.511,0,0.1,0.1,1,1,0.1,0,17,15
"1103",105005,"West",4.91,915,18,-13,31,63,222,0,0,3,3,3,3,6,0,6,9,0,12,9,24,3,0,3,3,3,0,3,3,3,3,0,0.2,0.5,0.1,0,0.1,0.1,0.1,0.1,0,6,15
"1104",104796,"West",4.41,898,25,-14,39,96,346,0,0,4,4,4,3,8,0,7,6,0,6,21,31,6,0,4,4,3,0,3,4,4,3,0,2.21,1.301,0.1,0,0.1,1,1,0.1,0,14,13
"1105",104804,"West",2.76,842,24,-10,34,68,254,0,0,3,3,3,3,6,0,6,3,6,6,30,27,3,0,3,3,3,3,3,3,3,3,0.01,0.421,0.53,0.1,0.1,0.1,0.1,0.1,0.1,0,12,15
"1106",102944,"West",2.4,141,21,-4,25,182,272,0,0,4,0,4,3,4,0,7,3,10,4,46,32,4,0,4,4,3,4,4,4,4,4,0,2.22,1.721,0.1,1,1,1,1,1,0,14,25
"1107",105153,"West",4.18,972,22,-11,33,85,335,0,0,0,3,3,3,3,0,6,9,3,24,9,33,3,0,3,3,3,3,3,3,3,3,0.001,0.1,1,0.1,0.1,0.1,0.1,0.1,0.1,0,3,30
"1108",3665,"West",2.17,125,22,-9,31,90,374,0,3,4,4,3,3,8,3,6,0,6,9,47,38,3,3,4,3,0,3,3,4,4,3,0.1,2.4,0.711,0.01,0.1,0.1,1,1,0.1,3,20,21
"1109",104014,"West",2.88,455,26,-7,33,105,319,0,0,3,3,3,3,6,0,6,6,12,15,60,48,9,0,3,3,3,3,3,3,3,3,0,0.62,1.301,0.1,0.1,0.1,0.1,0.1,0.1,0,18,39
"1110",101608,"West",3.34,995,19,-17,36,71,273,0,0,0,3,3,0,3,0,3,3,3,12,6,12,3,0,3,3,3,3,3,3,3,3,0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,6,6
"1111",104080,"West",7.8,3,22,1,21,92,275,0,0,0,3,3,3,3,0,6,15,6,0,12,9,9,0,3,3,3,3,0,3,3,3,0,0.3,0.325,0.1,0.1,0.001,0.1,0.1,0.1,0,9,9
"1112",103532,"West",2.85,827,25,-13,38,63,274,0,0,4,4,3,3,8,0,6,6,9,9,33,21,6,0,4,3,3,3,3,4,4,3,0,2.111,0.613,0.1,0.1,0.1,1,1,0.1,0,11,18
"1113",105545,"West",3.36,473,26,-8,34,112,349,3,3,3,3,3,3,6,6,6,9,12,9,54,33,21,3,3,3,3,3,3,3,3,3,0.2,0.531,1.072,0.1,0.1,0.1,0.1,0.1,0.1,6,15,30
"1114",104925,"West",2.81,479,25,-7,32,108,333,3,0,3,3,3,3,6,3,6,3,15,21,60,57,15,3,3,3,3,3,3,3,3,3,0.201,0.612,1.21,0.1,0.1,0.1,0.1,0.1,0.1,6,18,36
"1115",104841,"West",3.29,1084,20,-17,37,67,293,0,0,3,4,4,0,7,0,4,7,0,4,17,18,7,0,4,4,4,0,4,4,4,4,0,1.2,2.111,1,0.01,1,1,1,1,0,10,11
"1116",1201,"West",1.55,162,22,-7,29,124,381,0,0,4,3,3,3,7,0,6,0,0,0,25,25,0,0,4,3,0,0,0,4,4,0,0,1.4,0.214,0,0.01,0.01,1,1,0.01,0,16,6
"1117",102582,"West",3.23,932,22,-12,34,72,260,0,0,3,3,3,3,6,0,6,6,3,12,18,24,6,0,3,3,3,3,3,3,3,3,0,0.3,0.42,0.1,0.1,0.1,0.1,0.1,0.1,0,9,12
"1118",103243,"West",1.99,624,21,-13,34,81,278,0,0,3,4,3,3,7,0,6,0,3,6,16,19,0,0,4,3,0,3,3,4,4,0,0,1.1,0.3,0,0.1,0.1,1,1,0,0,7,9
"1119",2137,"West",5.34,124,23,-4,27,158,325,0,0,4,4,4,0,8,0,4,3,11,28,39,45,7,0,4,4,3,4,4,4,4,4,0,3.4,5.526,0.1,1,1,1,1,1,0,24,35
"1120",103897,"West",4.54,60,25,-1,26,193,260,0,0,0,3,3,3,3,0,6,18,3,0,3,3,18,0,3,3,3,3,0,3,3,3,0,0.4,0.33,0.1,0.1,0.01,0.1,0.1,0.1,0,12,9
"1121",101232,"West",2.81,911,19,-15,34,56,321,0,0,0,3,3,0,3,0,3,6,0,12,3,18,3,0,3,3,3,0,3,3,3,3,0,0.111,0.4,0.1,0,0.1,0.1,0.1,0.1,0,3,12
"1122",103650,"West",3.99,112,21,-5,26,198,212,0,0,3,3,3,3,6,0,6,3,9,27,42,45,6,0,3,3,3,3,3,3,3,3,0,0.501,1.22,0.1,0.1,0.1,0.1,0.1,0.1,0,15,36
"1123",101596,"West",5.11,1086,17,-13,30,69,196,0,0,0,3,3,0,3,0,3,3,3,12,6,15,3,0,3,3,3,3,3,3,3,3,0,0.201,0.311,0.1,0.1,0.1,0.1,0.1,0.1,0,6,9
"1124",101941,"West",4.83,1194,21,-12,33,49,369,0,0,0,3,3,3,3,0,6,15,6,18,12,33,9,0,3,3,3,3,3,3,3,3,0,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0,3,27
"1125",933,"West",2.03,165,23,-6,29,159,390,0,0,4,3,4,3,7,0,7,0,7,4,58,48,4,0,4,4,0,4,4,4,4,4,0,3.51,1.611,0,1,1,1,1,1,0,27,22
"1126",2186,"West",3.7,112,21,-5,26,198,217,0,0,4,3,4,4,7,0,8,3,14,14,54,40,7,0,4,4,3,4,4,4,4,4,0,1.1,8.5,0.1,1,1,1,1,1,0,7,47
"1127",104813,"West",2.8,830,24,-12,36,56,243,0,3,3,4,3,3,7,3,6,3,12,9,40,34,3,3,4,3,3,3,3,4,4,3,0.1,1.51,0.533,0.1,0.1,0.1,1,1,0.1,3,19,15
"1128",2717,"West",3.14,395,23,-9,32,87,363,0,0,3,3,3,3,6,0,6,0,3,0,21,15,3,0,3,3,0,3,0,3,3,3,0.001,0.31,0.43,0,0.1,0.01,0.1,0.1,0.1,0,9,12
"1129",104139,"West",3.12,419,24,-8,32,89,248,0,0,3,3,3,3,6,0,6,6,12,6,51,33,18,0,3,3,3,3,3,3,3,3,0,0.43,1.21,0.1,0.1,0.1,0.1,0.1,0.1,0,12,36
"1130",4151,"West",5.34,121,22,-4,26,190,251,0,0,4,3,4,4,7,0,8,3,7,22,36,37,7,0,4,4,3,4,4,4,4,4,0,1.2,6.321,0.1,1,1,1,1,1,0,10,33
"1131",101607,"West",3.44,1022,18,-15,33,52,351,0,0,0,3,3,3,3,0,6,3,6,15,3,12,3,0,3,3,3,3,3,3,3,3,0,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0,3,9
"1132",102870,"West",4.13,920,24,-14,38,92,287,0,0,3,3,3,0,6,0,3,0,0,6,12,15,0,0,3,3,0,0,3,3,3,0,0,0.3,0.11,0,0,0.1,0.1,0.1,0,0,9,3
"1133",1896,"West",1.99,382,21,-10,31,86,309,0,0,4,3,3,3,7,0,6,0,6,9,39,39,0,0,4,3,0,3,3,4,4,0,0,3.4,0.523,0,0.1,0.1,1,1,0.001,0,24,15
"1134",4032,"West",2.21,41,24,-1,25,276,302,0,0,4,3,4,4,7,0,8,4,3,3,57,50,3,0,4,4,4,3,3,4,4,3,0,6.4,2.233,1,0.1,0.1,1,1,0.1,0,36,14
"1135",3616,"West",3.16,25,24,0,24,382,213,0,0,0,0,3,3,0,0,6,0,0,0,12,12,0,0,0,3,0,0,0,3,3,0,0.001,0.01,0.441,0.01,0.01,0.01,0.1,0.1,0.01,0,0,12
"1136",102685,"West",3.17,47,24,1,23,194,339,0,0,3,3,3,0,6,0,3,9,9,15,18,18,6,0,3,3,3,3,3,3,3,3,0,0.31,0.75,0.1,0.1,0.1,0.1,0.1,0.1,0,9,21
"1137",2491,"West",2.05,325,24,-7,31,80,340,0,0,3,3,3,3,6,0,6,6,12,6,42,21,9,0,3,3,3,3,3,3,3,3,0,0.42,0.71,0.1,0.1,0.1,0.1,0.1,0.1,0,12,21
"1138",102408,"West",3.44,8,24,1,23,241,358,0,0,0,3,3,3,3,0,6,18,3,3,3,9,9,0,3,3,3,3,3,3,3,3,0,0.21,0.401,0.1,0.1,0.1,0.1,0.1,0.1,0,6,12
"1139",102953,"West",2.92,134,28,-2,30,139,383,3,0,0,3,3,3,3,3,6,12,12,3,30,27,15,3,3,3,3,3,3,3,3,3,0.5,0.22,0.651,0.1,0.1,0.1,0.1,0.1,0.1,15,6,18
"1140",101950,"West",3.96,1109,21,-14,35,59,409,0,0,3,3,3,0,6,0,3,3,0,9,9,15,3,0,3,3,3,0,3,3,3,3,0,0.2,0.211,0.1,0.001,0.1,0.1,0.1,0.1,0,6,6
"1141",829,"West",2,160,24,-7,31,109,433,0,0,3,3,3,3,6,0,6,3,6,3,42,36,6,0,3,3,3,3,3,3,3,3,0,0.61,0.802,0.1,0.1,0.1,0.1,0.1,0.1,0,18,24
"1142",102006,"West",3.82,951,20,-15,35,64,238,0,0,0,3,3,3,3,0,6,3,3,9,18,21,3,0,3,3,3,3,3,3,3,3,0,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,3,15
"1143",104114,"West",2.49,536,23,-13,36,64,290,0,0,3,3,3,3,6,0,6,0,6,6,33,30,3,0,3,3,0,3,3,3,3,3,0,0.512,0.524,0.01,0.1,0.1,0.1,0.1,0.1,0,15,15
"1144",104874,"West",3.85,927,19,-14,33,60,295,0,0,3,3,3,3,6,0,6,6,3,12,15,27,3,0,3,3,3,3,3,3,3,3,0,0.2,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0,6,15
